"ORGANIZATION","TANK_INFO","TANK_NAME","TANK_ADDRESS","CITY","STATE","ZIP","TASK_TYPE","TASK_STATUS","Address"
"WISCONSIN RAPIDS WATER WORKS & LIGHTING COMMISSION, WI","2,000,000 COMPOSITE","SOUTH TOWER","RIVERVIEW EXPRESSWAY AND 20TH STREET SOUTH","WISCONSIN RAPIDS","WI","54495","MPWOUT","In Planning","RIVERVIEW EXPRESSWAY AND 20TH STREET SOUTH, WISCONSIN RAPIDS, WI 54495"
"WISCONSIN RAPIDS WATER WORKS & LIGHTING COMMISSION, WI","400,000 ELEVATED","WEST TOWER","14TH AVE SOUTH AND ALTON STREET","WISCONSIN RAPIDS","WI","54495","MPWOUT","In Planning","14TH AVE SOUTH AND ALTON STREET, WISCONSIN RAPIDS, WI 54495"
"CITY OF TWO RIVERS, WI","500,000 ELEVATED","SOUTHTANK","2610 12TH STREET","TWO RIVERS","WI","54241","MPWOUT","In Planning","2610 12TH STREET, TWO RIVERS, WI 54241"
"CITY OF WHITEWATER, WI","500,000 PEDISPHERE","CRAVATH STREET TANK","EAST CRAVATH STREET","WHITEWATER","WI","53190","MPWOUT","In Planning","EAST CRAVATH STREET, WHITEWATER, WI 53190"
"STURGEON BAY UTILITIES, WI","250,000 PEDISPHERE","JUSTICE CENTER TANK","YEW STREET","STURGEON BAY","WI","54235","MPVISU","In Planning","YEW STREET, STURGEON BAY, WI 54235"
"GOODMAN SANITARY DISTRICT 1, WI","100,000 PEDISPHERE","C AVE TANK","C AND 6TH STREET","GOODMAN","WI","54125","MPVISU","In Planning","C AND 6TH STREET, GOODMAN, WI 54125"
"RACINE WATER AND WASTEWATER UTILITY, WI","750,000 COMPOSITE FLUTED COLUMN","RENAISSANCE TANK","NORTH OF WEST ROAD ON RENAISSANCE BLVD.","STURTEVANT","WI","53177","MPVISU","In Planning","NORTH OF WEST ROAD ON RENAISSANCE BLVD., STURTEVANT, WI 53177"
"VILLAGE OF GRAFTON, WI","200,000 PEDISPHERE","TANK #1 NORTH TANK","915 NORTH STREET","GRAFTON","WI","53024","MPVISU","In Planning","915 NORTH STREET, GRAFTON, WI 53024"
"CITY OF RICE LAKE, WI","250,000 PEDISPHERE","HIGH STREET TANK","HIGH & KLEUSCH STREET","RICE LAKE","WI","54868","MPWOUTCA","In Planning","HIGH & KLEUSCH STREET, RICE LAKE, WI 54868"
"MARINETTE WATER UTILITY, WI","1,500,000 ELEVATED","PIERCE AVE TANK","3001 PIERCE AVE","MARINETTE","WI","54143","MPVISU","In Planning","3001 PIERCE AVE, MARINETTE, WI 54143"
"RACINE WATER AND WASTEWATER UTILITY, WI","2,750,000 STANDPIPE","PERRY AVENUE WATER TANK","PERRY AVENUE","RACINE","WI","53403","MPWOUT","In Planning","PERRY AVENUE, RACINE, WI 53403"
"RACINE WATER AND WASTEWATER UTILITY, WI","2,000,000 ELEVATED","REGENCY MALL TANK","BEHIND RACINE HIGHLAND MALL","RACINE","WI","53403","MPWOUT","In Planning","BEHIND RACINE HIGHLAND MALL, RACINE, WI 53403"
"VILLAGE OF SLINGER, WI","250,000 PEDISPHERE","POLK STREET TANK","POLK STREET","SLINGER","WI","53086","MPWOUT","In Planning","POLK STREET, SLINGER, WI 53086"
"WAUPUN UTILITIES, WI","400,000 PEDISPHERE","TOWER TANK #2","TOWER TANK #2","WAUPUN","WI","53963","MPVISU","In Planning","TOWER TANK #2, WAUPUN, WI 53963"
"PORT WASHINGTON WATER UTILITY, WI","500,000 FLUTED COLUMN","HWY 33 AT GRAND AVE / WEST SIDE TOWER","GRAND AVE","PORT WASHINGTON","WI","53074","MPWOUT","In Planning","GRAND AVE, PORT WASHINGTON, WI 53074"
"JEFFERSON WATER AND ELECTRIC, WI","750,000 COMPOSITE","OGDEN ST TANK","OGDEN ST TANK","JEFFERSON","WI","53594","MPWOUT","In Planning","OGDEN ST TANK, JEFFERSON, WI 53594"
"VILLAGE OF HUSTISFORD, WI","200,000 SINGLE PED","HIGH ZONE","HYW 60 AND CTY R","HUSTISFORD","WI","53034","MPWOUT","In Planning","HYW 60 AND CTY R, HUSTISFORD, WI 53034"
"CITY OF BEAVER DAM, WI","400,000 ELEVATED","DOWNTOWN TANK","S SPRING AND WASHINGTON","BEAVER DAM","WI","53916","MPVISU","In Planning","S SPRING AND WASHINGTON, BEAVER DAM, WI 53916"
"VILLAGE OF LONE ROCK, WI","150,000 SINGLE PED","TOWN WATER TANK","W. EXCHANGE AND PINE STREET","LONE ROCK","WI","53556","MPVISU","In Planning","W. EXCHANGE AND PINE STREET, LONE ROCK, WI 53556"
"TOWN OF SCOTT WATER UTILITY, WI","150,000 PEDISPHERE","HIGHWAY TANK","HYW 41 AND HYW 54","SCOTT","WI","54301","MPVISU","In Planning","HYW 41 AND HYW 54, SCOTT, WI 54301"
"VILLAGE OF BELGIUM, WI","300,000 PEDISPHERE","INDUSTRIAL PARK TANK","946 JER-MAR ROAD","BELGIUM","WI","53004","MPVISU","In Planning","946 JER-MAR ROAD, BELGIUM, WI 53004"
"VILLAGE OF DENMARK, WI","200,000 PEDISPHERE","HERSHMAN AVENUE TANK","COUNTY ROAD R & HERSHMAN AVE","DENMARK","WI","54208","MPWOUT","In Planning","COUNTY ROAD R & HERSHMAN AVE, DENMARK, WI 54208"
"STURGEON BAY UTILITIES, WI","150,000 PEDISPHERE","INDUSTRIAL PARK TANK","INDUSTRIAL PARK","STURGEON BAY","WI","54235","MPWOUTCA","In Planning","INDUSTRIAL PARK, STURGEON BAY, WI 54235"
"VILLAGE OF ROBERTS, WI","250,000 PEDI","TOWER 1","NEXT TO 110 TOWER ST","ROBERTS","WI","54023","MPVISU","In Planning","NEXT TO 110 TOWER ST, ROBERTS, WI 54023"
"VILLAGE OF DORCHESTER, WI","250,000 PEDISPHERE","VILLAGE TANK","4TH AVE AND OAK ST","DORCHESTER","WI","54425","MPVISU","In Planning","4TH AVE AND OAK ST, DORCHESTER, WI 54425"
"VILLAGE OF SLINGER, WI","300,000 PEDISPHERE","NEW TANK","LOVERS LANE","SLINGER","WI","53086","MPWOUTCA","In Planning","LOVERS LANE, SLINGER, WI 53086"
"VILLAGE OF OOSTBURG, WI","250,000 SINGLE PED","VILLAGE TANK","SOUTH 6TH STREET AND MICHIGAN AVENUE","OOSTBURG","WI","53070","MPWOUT","In Planning","SOUTH 6TH STREET AND MICHIGAN AVENUE, OOSTBURG, WI 53070"
"VILLAGE OF SUSSEX, WI","500,000 PEDISPHERE","PLANT TANK","W248N5589 EXECUTIVE DRIVE","SUSSEX","WI","53089","MPVISU","In Planning","W248N5589 EXECUTIVE DRIVE, SUSSEX, WI 53089"
"CITY OF WATERTOWN, WI","300,000 PEDISPHERE","WESTERN AVE & SOUTH CONCORD TANK","1324 WESTERN AVENUE","WATERTOWN","WI","53094","MPRV","In Planning","1324 WESTERN AVENUE, WATERTOWN, WI 53094"
"CITY OF WATERTOWN, WI","500,000 HYDROPILLAR","WEST STREET TANK","870 WEST ST","WATERTOWN","WI","53094","MPRV","In Planning","870 WEST ST, WATERTOWN, WI 53094"
"CITY OF WATERTOWN, WI","500,000  GST","AIRPORT TANK","AIRPORT","WATERTOWN","WI","53094","MPRV","In Planning","AIRPORT, WATERTOWN, WI 53094"
"CITY OF WATERTOWN, WI","300,000 ELEVATED","O'CONNELL ST & MONTGOMERY ST WATER TANK","509 O'CONNELL STREET","WATERTOWN","WI","53094","MPRV","In Planning","509 O'CONNELL STREET, WATERTOWN, WI 53094"
"CITY OF MILTON, WI","500,000 PEDISPHERE","TOWER HILL TANK","SOUTH END OF ROGERS ST","MILTON","WI","53563","CSWOUT","In Planning","SOUTH END OF ROGERS ST, MILTON, WI 53563"
